Day,Title,Source,Status,Verification_URL,Verified
32,"Psalm 2: The LORD's Anointed King","Aquinas; Commentary on Psalms 2 - Divine sonship","vague","https://www.newadvent.org/fathers/",NO
35,"Psalm 40: A Body You Prepared for Me","Origen; Commentary on Hebrews - Fulfillment in Christ","vague","https://www.newadvent.org/fathers/",NO
36,"Zechariah 6: The Branch Will Build the Temple","Augustine; City of God XVII.3 - Branch builds Church","vague","https://www.newadvent.org/fathers/",NO
38,"Genesis 49: The Scepter from Judah","Augustine; City of God XVI.41 - Scepter prophecy","vague","https://www.newadvent.org/fathers/",NO
39,"The Kinsman Redeemer","Origen; Homilies on Ruth - Boaz typology","vague","https://www.newadvent.org/fathers/",NO
40,"David: The Shepherd King","Gregory the Great; Pastoral Rule - Shepherd-king imagery","vague","https://www.newadvent.org/fathers/",NO
41,"Solomon: The Wise King","Augustine; On the Trinity 7.3 - Divine Wisdom incarnate","vague","https://www.newadvent.org/fathers/",NO
42,"Jonah: Three Days and Three Nights","Augustine; Letter 102.6-8 - Jonah typology","vague","https://www.newadvent.org/fathers/",NO
43,"Psalm 24: The King of Glory","Aquinas; Commentary on Psalms 24 - Christ's triumph","vague","https://www.newadvent.org/fathers/",NO
43,"Psalm 24: The King of Glory","Origen; Homilies on Psalms - Gates of righteousness","vague","https://www.newadvent.org/fathers/",NO
44,"Isaiah 59: The Redeemer Will Come to Zion","Augustine; City of God XX.29 - Salvation of Israel","vague","https://www.newadvent.org/fathers/",NO
44,"Isaiah 59: The Redeemer Will Come to Zion","Aquinas; Commentary on Romans 11 - Mystery of Israel","vague","https://www.newadvent.org/fathers/",NO
45,"Born of a Virgin","Irenaeus; Against Heresies 3.21 - Virgin conception","vague","https://www.newadvent.org/fathers/",NO
49,"Betrayed for Thirty Pieces of Silver","Origen; Commentary on Matthew 79 - Thirty pieces prophecy","vague","https://www.newadvent.org/fathers/",NO
49,"Betrayed for Thirty Pieces of Silver","Origen; Commentary on Matthew 78 - Thirty pieces of silver","vague","https://www.newadvent.org/fathers/",NO
50,"The Branch of the LORD","Origen; Commentary on Matthew 2 - Branch and root of Jesse","vague","https://www.newadvent.org/fathers/",NO
52,"Triumphal Entry on a Donkey","Augustine; Harmony of the Gospels 2.66 - Palm Sunday fulfillment","vague","https://www.newadvent.org/fathers/",NO
53,"The Stone the Builders Rejected","Origen; Commentary on Matthew 16 - Cornerstone prophecy","vague","https://www.newadvent.org/fathers/",NO
54,"Given Vinegar to Drink","Origen; Commentary on Matthew 126 - Vinegar offered","vague","https://www.newadvent.org/fathers/",NO
55,"Seated at God’s Right Hand","Augustine; On the Trinity 1.13 - David's Lord","vague","https://www.newadvent.org/fathers/",NO
57,"The Messenger Preparing the Way","Origen; Commentary on John 6.24 - Elijah figure","vague","https://www.newadvent.org/fathers/",NO
58,"Elijah Will Come First","Origen; Commentary on Matthew 10.3 - Elijah's return","vague","https://www.newadvent.org/fathers/",NO
59,"Out of Egypt I Called My Son","Augustine; Questions on the Heptateuch - Typological reading","vague","https://www.newadvent.org/fathers/",NO
59,"Out of Egypt I Called My Son","Origen; Commentary on Matthew 2 - Out of Egypt I called my son","vague","https://www.newadvent.org/fathers/",NO
60,"A Voice Crying in the Wilderness","Origen; Commentary on John 6.24 - Voice crying out","vague","https://www.newadvent.org/fathers/",NO
61,"Tobit: The Angel Who Heals","Augustine; City of God X.16 - Angelic ministry","vague","https://www.newadvent.org/fathers/",NO
62,"Wisdom: The Eternal Word","Augustine; On the Trinity 7.3 - Divine Wisdom is Son","vague","https://www.newadvent.org/fathers/",NO
63,"Sirach: The Bread of Understanding","Origen; Commentary on Song of Songs - Wisdom's food","vague","https://www.newadvent.org/fathers/",NO
64,"Baruch: Return from Exile","Irenaeus; Against Heresies 4.20 - Wisdom walked among us","vague","https://www.newadvent.org/fathers/",NO
65,"2 Maccabees: Resurrection Hope","Augustine; City of God XX.21 - Resurrection in OT","vague","https://www.newadvent.org/fathers/",NO
65,"2 Maccabees: Resurrection Hope","Aquinas; ST Supplement; q. 75 - Bodies will rise","vague","https://www.newadvent.org/fathers/",NO
66,"Judith: Courage of the Faithful","Origen; Homilies on Judges - Female deliverer","vague","https://www.newadvent.org/fathers/",NO
67,"Job: The Innocent Sufferer","Gregory the Great; Morals on Job - Job as type of Christ","vague","https://www.newadvent.org/fathers/",NO
68,"Proverbs: Wisdom's Invitation","Origen; Commentary on Song of Songs Prologue - Wisdom's table","vague","https://www.newadvent.org/fathers/",NO
69,"Ecclesiastes: The Meaningless Made Meaningful","Augustine; Confessions 1.1 - Restless hearts","vague","https://www.newadvent.org/fathers/",NO
69,"Ecclesiastes: The Meaningless Made Meaningful","Gregory of Nyssa; Homilies on Ecclesiastes - Vanity redeemed","vague","https://www.newadvent.org/fathers/",NO
70,"Song of Songs: The Divine Bridegroom","Origen; Commentary on Song of Songs - Mystical marriage","vague","https://www.newadvent.org/fathers/",NO
71,"Joshua: Conquering the Promised Land","Augustine; City of God XVII.13 - True rest in Christ","vague","https://www.newadvent.org/fathers/",NO
72,"Rahab: Faith That Saves","Augustine; Questions on Joshua 2 - Rahab as Church type","vague","https://www.newadvent.org/fathers/",NO
73,"Gideon: Weakness Made Strong","Augustine; City of God XVII.4 - Judges as saviors","vague","https://www.newadvent.org/fathers/",NO
74,"Samson: Strength Through Sacrifice","Augustine; City of God XVII.4 - Samson type of Christ","vague","https://www.newadvent.org/fathers/",NO
75,"Samuel: Prophet; Priest; and Judge","Gregory of Nazianzus; Oration 2 - Threefold office","vague","https://www.newadvent.org/fathers/",NO
75,"Samuel: Prophet; Priest; and Judge","Augustine; City of God XVII.4 - Samuel prefigures Christ","vague","https://www.newadvent.org/fathers/",NO
75,"Samuel: Prophet; Priest; and Judge","Aquinas; ST III; q. 22 - Christ's priesthood and kingship","vague","https://www.newadvent.org/fathers/",NO
76,"Nathan's Prophecy: Your House Forever","Augustine; City of God XVII.8 - Davidic covenant fulfilled in Christ","vague","https://www.newadvent.org/fathers/",NO
77,"Elijah: Fire from Heaven","Origen; Commentary on Matthew 12.42 - Elijah and Jesus","vague","https://www.newadvent.org/fathers/",NO
77,"Elijah: Fire from Heaven","Gregory of Nazianzus; Oration 45 - Pentecost fire","vague","https://www.newadvent.org/fathers/",NO
79,"Elisha and the Widow’s Oil","Origen; Commentary on Matthew 11 - Bread multiplied","vague","https://www.newadvent.org/fathers/",NO
80,"Elisha Raises the Dead","Origen; Against Celsus 2.48 - Raising dead prefigures Christ","vague","https://www.newadvent.org/fathers/",NO
81,"The Shunammite Woman’s Faith","Augustine; Sermons 215 - Faith brings miracles","vague","https://www.newadvent.org/fathers/",NO
82,"Hezekiah's Shadow Turns Back","Augustine; City of God XXI.8 - Miraculous signs","vague","https://www.newadvent.org/fathers/",NO
82,"Hezekiah's Shadow Turns Back","Origen; Against Celsus 1.59 - Nature submits to God","vague","https://www.newadvent.org/fathers/",NO
83,"Josiah Finds the Lost Book","Augustine; Confessions 8.12 - Scripture transforms","vague","https://www.newadvent.org/fathers/",NO
84,"1 Maccabees: The Rededication","Origen; Commentary on John 10.18 - Temple rededicated","vague","https://www.newadvent.org/fathers/",NO
85,"Ezekiel's Valley of Dry Bones","Augustine; City of God XX.21 - Bodies will rise","vague","https://www.newadvent.org/fathers/",NO
85,"Ezekiel's Valley of Dry Bones","Gregory of Nyssa; On the Soul - Resurrection hope","vague","https://www.newadvent.org/fathers/",NO
86,"Ezekiel's River from the Temple","Origen; Commentary on John 13 - Rivers of living water","vague","https://www.newadvent.org/fathers/",NO
87,"Daniel Refuses the King's Food","John Chrysostom; Homilies on Daniel - Fidelity rewarded","vague","https://www.newadvent.org/fathers/",NO
87,"Daniel Refuses the King's Food","Origen; Exhortation to Martyrdom - Witness through purity","vague","https://www.newadvent.org/fathers/",NO
87,"Daniel Refuses the King's Food","Ambrose; On Joseph - Chastity and holiness","vague","https://www.newadvent.org/fathers/",NO
88,"The Fiery Furnace","Irenaeus; Against Heresies 4.20.11 - Son appears in OT","vague","https://www.newadvent.org/fathers/",NO
88,"The Fiery Furnace","Augustine; City of God XVI.6 - Divine presence","vague","https://www.newadvent.org/fathers/",NO
89,"Daniel in the Lions' Den","Augustine; City of God XVIII.36 - Delivered from lions","vague","https://www.newadvent.org/fathers/",NO
90,"Amos: The Plumb Line","Augustine; City of God XX.19 - God's righteous judgment","vague","https://www.newadvent.org/fathers/",NO
90,"Amos: The Plumb Line","Augustine; On the Trinity 15.14 - Christ our standard","vague","https://www.newadvent.org/fathers/",NO
90,"Amos: The Plumb Line","Origen; Commentary on John 1 - Word as measure of all","vague","https://www.newadvent.org/fathers/",NO
91,"Obadiah: The Day of the LORD","Augustine; City of God XX.19 - Day of the Lord","vague","https://www.newadvent.org/fathers/",NO
91,"Obadiah: The Day of the LORD","Irenaeus; Against Heresies 5.35 - Second Coming","vague","https://www.newadvent.org/fathers/",NO
92,"Jonah and Nineveh's Repentance","Augustine; Letter 102 - Nineveh's repentance","vague","https://www.newadvent.org/fathers/",NO
93,"Micah: Born in Bethlehem; Ruler Forever","Origen; Against Celsus 1.51 - Historical Bethlehem birth","vague","https://www.newadvent.org/fathers/",NO
94,"Nahum: The LORD is Good","Augustine; On the Trinity 8.8 - Divine goodness","vague","https://www.newadvent.org/fathers/",NO
95,"Habakkuk: The Just Shall Live by Faith","Augustine; The Spirit and the Letter 26 - Faith justifies","vague","https://www.newadvent.org/fathers/",NO
96,"Zephaniah: The LORD Will Rejoice Over You","Origen; Commentary on Song of Songs - Divine love","vague","https://www.newadvent.org/fathers/",NO
97,"Haggai: The Desired of All Nations","Augustine; City of God XVIII.48 - Desire of nations","vague","https://www.newadvent.org/fathers/",NO
98,"Zechariah: Your King Comes Riding on a Donkey","Augustine; Harmony of the Gospels 2.66 - Palm Sunday fulfillment","vague","https://www.newadvent.org/fathers/",NO
99,"Malachi: Messenger of the Covenant","Origen; Commentary on John 6.24 - Elijah figure","vague","https://www.newadvent.org/fathers/",NO
100,"Malachi: Sun of Righteousness with Healing","Origen; Commentary on John 1 - True light","vague","https://www.newadvent.org/fathers/",NO
101,"Ruth: The Kinsman Redeemer","Augustine; City of God XV.26 - Gentiles grafted into Israel","vague","https://www.newadvent.org/fathers/",NO
102,"Psalm 22: Crucifixion Foretold","Aquinas; Commentary on Psalms 22 - Messianic prophecy","vague","https://www.newadvent.org/fathers/",NO
104,"Psalm 34: Not a Bone Broken","Aquinas; Commentary on John 19 - Paschal Lamb typology","vague","https://www.newadvent.org/fathers/",NO
106,"Psalm 69: Crucifixion Details","John 19:28-29 fulfills Psalm 69:21 per Augustine; Tractates on John","vague","https://www.newadvent.org/fathers/",NO
106,"Psalm 69: Crucifixion Details","Aquinas; Commentary on Psalms 69 - Vinegar and gall prophecy","vague","https://www.newadvent.org/fathers/",NO
107,"Isaiah 7:14 - Virgin Birth","Irenaeus; Against Heresies 3.21 - Virgin conception prefigured","vague","https://www.newadvent.org/fathers/",NO
107,"Isaiah 7:14 - Virgin Birth","Jerome; Against Helvidius - 'Almah' means virgin","vague","https://www.newadvent.org/fathers/",NO
108,"Isaiah 9:6 - Son Given","Irenaeus; Against Heresies 3.19 - 'Unto us a child is born'","vague","https://www.newadvent.org/fathers/",NO
109,"Isaiah 25: The Feast on the Mountain","Augustine; City of God XX.21 - Eschatological feast","vague","https://www.newadvent.org/fathers/",NO
109,"Isaiah 25: The Feast on the Mountain","Gregory of Nyssa; On the Soul and Resurrection - Final banquet","vague","https://www.newadvent.org/fathers/",NO
110,"Isaiah 26: The Dead Will Rise","Aquinas; ST Suppl.; q. 75 - General resurrection","vague","https://www.newadvent.org/fathers/",NO
110,"Isaiah 26: The Dead Will Rise","Augustine; City of God XX.20 - Resurrection of the dead","vague","https://www.newadvent.org/fathers/",NO
111,"Isaiah 28: The Precious Cornerstone","Ephesians 2:20 explained by Chrysostom - Christ as cornerstone","vague","https://www.newadvent.org/fathers/",NO
112,"Isaiah 35: Desert Will Bloom","Augustine; Sermons 88 - Desert blooms with grace","vague","https://www.newadvent.org/fathers/",NO
113,"Isaiah 40: Voice in the Wilderness","All four Gospels cite Isaiah 40:3 per Origen; Commentary on John","vague","https://www.newadvent.org/fathers/",NO
113,"Isaiah 40: Voice in the Wilderness","Augustine; Harmony of the Gospels 2.16 - John fulfills prophecy","vague","https://www.newadvent.org/fathers/",NO
114,"Isaiah 42: Servant Brings Justice","Irenaeus; Against Heresies 3.17 - Gentle Servant","vague","https://www.newadvent.org/fathers/",NO
114,"Isaiah 42: Servant Brings Justice","Origen; Commentary on Matthew 10.17 - Servant's meekness","vague","https://www.newadvent.org/fathers/",NO
114,"Isaiah 42: Servant Brings Justice","Aquinas; Commentary on Isaiah 42 - Justice without violence","vague","https://www.newadvent.org/fathers/",NO
115,"Isaiah 49: Light to the Gentiles","Irenaeus; Against Heresies 3.10 - Light reaches nations","vague","https://www.newadvent.org/fathers/",NO
115,"Isaiah 49: Light to the Gentiles","Augustine; City of God XVIII.29 - Gentile inclusion foretold","vague","https://www.newadvent.org/fathers/",NO
117,"Isaiah 54: Everlasting Covenant","Ephesians 5:25-32 explained by Chrysostom - Nuptial mystery","vague","https://www.newadvent.org/fathers/",NO
117,"Isaiah 54: Everlasting Covenant","Augustine; City of God XVII.3 - Barren woman bears many","vague","https://www.newadvent.org/fathers/",NO
117,"Isaiah 54: Everlasting Covenant","Origen; Commentary on Song of Songs - Bride and Bridegroom","vague","https://www.newadvent.org/fathers/",NO
117,"Isaiah 54: Everlasting Covenant","Augustine; City of God XVII.3 - New covenant promises","vague","https://www.newadvent.org/fathers/",NO
119,"Isaiah 61: Anointed to Proclaim Good News","Augustine; Sermons 62 - Year of the Lord's favor","vague","https://www.newadvent.org/fathers/",NO
119,"Isaiah 61: Anointed to Proclaim Good News","Irenaeus; Against Heresies 3.9 - Spirit rests on Messiah","vague","https://www.newadvent.org/fathers/",NO
120,"Isaiah 62: The New Name","Revelation 3:12 and 21:2 fulfill Isaiah 62 per Augustine","vague","https://www.newadvent.org/fathers/",NO
120,"Isaiah 62: The New Name","Origen; Commentary on Song of Songs - New name of glory","vague","https://www.newadvent.org/fathers/",NO
120,"Isaiah 62: The New Name","Augustine; City of God XX.17 - Restoration of God's people","vague","https://www.newadvent.org/fathers/",NO
121,"Isaiah 63: Treading the Winepress","Augustine; City of God XX.9 - Winepress of wrath","vague","https://www.newadvent.org/fathers/",NO
121,"Isaiah 63: Treading the Winepress","Origen; Commentary on John 1 - Christ's solitary sacrifice","vague","https://www.newadvent.org/fathers/",NO
122,"Isaiah 64: Rend the Heavens","Augustine; Sermons 265 - Heavens torn at baptism","vague","https://www.newadvent.org/fathers/",NO
123,"Isaiah 66: New Heavens and New Earth","Irenaeus; Against Heresies 5.35-36 - Material creation renewed","vague","https://www.newadvent.org/fathers/",NO
123,"Isaiah 66: New Heavens and New Earth","Augustine; City of God XX.21 - New heaven and earth","vague","https://www.newadvent.org/fathers/",NO
123,"Isaiah 66: New Heavens and New Earth","Aquinas; Commentary on 2 Peter 3 - Final renewal","vague","https://www.newadvent.org/fathers/",NO
124,"Psalm 41: Betrayed by a Friend","Aquinas; Commentary on John 13 - Judas prefigured","vague","https://www.newadvent.org/fathers/",NO
125,"Psalm 45: Royal Wedding Song","Ephesians 5:25-32 interpreted by Chrysostom - Nuptial mystery","vague","https://www.newadvent.org/fathers/",NO
125,"Psalm 45: Royal Wedding Song","Origen; Commentary on Song of Songs - King and bride","vague","https://www.newadvent.org/fathers/",NO
126,"Psalm 68: Ascension Triumph","Ephesians 4:8-10 applies Psalm 68:18 per Aquinas; Commentary on Ephesians","vague","https://www.newadvent.org/fathers/",NO
127,"Psalm 72: Universal Kingdom","Aquinas; Commentary on Psalms 72 - Perpetual kingdom","vague","https://www.newadvent.org/fathers/",NO
127,"Psalm 72: Universal Kingdom","Chrysostom; Homilies on Psalms - Kings bring tribute","vague","https://www.newadvent.org/fathers/",NO
128,"Psalm 78: Manna from Heaven","Cyprian; Lord's Prayer 18 - Daily bread is Christ","vague","https://www.newadvent.org/fathers/",NO
129,"Psalm 80: Restore Us; O God","Daniel 7:13-14 and Psalm 80:17 refer to Messiah per Jerome","vague","https://www.newadvent.org/fathers/",NO
129,"Psalm 80: Restore Us; O God","Aquinas; Commentary on Psalms 80 - Messianic restoration","vague","https://www.newadvent.org/fathers/",NO
129,"Psalm 80: Restore Us; O God","Chrysostom; Homilies on Psalms - God's face shines in Christ","vague","https://www.newadvent.org/fathers/",NO
130,"Psalm 84: Dwelling in God's House","Chrysostom; Homilies on 2 Corinthians - Living stones of temple","vague","https://www.newadvent.org/fathers/",NO
130,"Psalm 84: Dwelling in God's House","Origen; On Prayer 31 - God dwells in His people","vague","https://www.newadvent.org/fathers/",NO
133,"Psalm 118: The Stone Rejected","Aquinas; Commentary on Psalms 118 - Jews reject Messiah","vague","https://www.newadvent.org/fathers/",NO
133,"Psalm 118: The Stone Rejected","Cyprian; Testimonies 2.16 - Stone rejected by Israel","vague","https://www.newadvent.org/fathers/",NO
134,"Psalm 132: Dwelling Place for the Mighty One","Aquinas; Commentary on Psalms 132 - Temple points to Incarnation","vague","https://www.newadvent.org/fathers/",NO
135,"Proverbs 9: Wisdom's Banquet","Proverbs 9:1-6 fulfilled in Christ per Augustine; Sermons 362","vague","https://www.newadvent.org/fathers/",NO
135,"Proverbs 9: Wisdom's Banquet","Origen; Commentary on Proverbs 9 - Seven pillars as gifts of Spirit","vague","https://www.newadvent.org/fathers/",NO
136,"Esther: Interceding for Her People","Augustine; City of God XVIII.36 - Esther saves her people","vague","https://www.newadvent.org/fathers/",NO
137,"1 Chronicles 16: Seek His Face Always","Chrysostom; On the Priesthood 3.4 - Worship in spirit","vague","https://www.newadvent.org/fathers/",NO
138,"1 Chronicles 29: Who Am I?","Gregory the Great; Pastoral Rule 1.4 - Humility of leadership","vague","https://www.newadvent.org/fathers/",NO
139,"2 Chronicles 5: Glory Fills the Temple","Augustine; Sermons 215.4 - Temple filled; Mary filled with God","vague","https://www.newadvent.org/fathers/",NO
140,"2 Chronicles 7: If My People Pray","Augustine; Sermons 19 - God hears humble prayer","vague","https://www.newadvent.org/fathers/",NO
140,"2 Chronicles 7: If My People Pray","Chrysostom; Homilies on Prayer - Conditions for answered prayer","vague","https://www.newadvent.org/fathers/",NO
140,"2 Chronicles 7: If My People Pray","Cyprian; On the Lord's Prayer 2 - Communal repentance","vague","https://www.newadvent.org/fathers/",NO
141,"Ezra 3: Rebuilding the Altar","Augustine; City of God XVIII.48 - Glory of the second temple","vague","https://www.newadvent.org/fathers/",NO
141,"Ezra 3: Rebuilding the Altar","Augustine; City of God XVII.12 - Temple rebuilding as Church","vague","https://www.newadvent.org/fathers/",NO
141,"Ezra 3: Rebuilding the Altar","Aquinas; Commentary on Hebrews 12 - Old temple passes away","vague","https://www.newadvent.org/fathers/",NO
143,"Nehemiah 8: The Joy of the LORD","Augustine; Sermons 171 - Joy of the Lord is our strength","vague","https://www.newadvent.org/fathers/",NO
144,"Nehemiah 9: You Gave Your Good Spirit","Augustine; On the Spirit and the Letter - Law written on hearts","vague","https://www.newadvent.org/fathers/",NO
146,"Zechariah 3: The High Priest Cleansed","Hebrews 7-8 - Joshua as type of Christ per Aquinas","vague","https://www.newadvent.org/fathers/",NO
146,"Zechariah 3: The High Priest Cleansed","Augustine; City of God XVII.3 - High priest's filthy garments","vague","https://www.newadvent.org/fathers/",NO
146,"Zechariah 3: The High Priest Cleansed","Origen; On First Principles 3.2 - Satan the accuser","vague","https://www.newadvent.org/fathers/",NO
147,"Zechariah 9: Your King Comes to You","Augustine; Harmony of the Gospels 2.66 - Humble king on donkey","vague","https://www.newadvent.org/fathers/",NO
148,"Zechariah 12: They Will Look on the One They Pierced","Aquinas; Commentary on John 19 - Prophecy fulfilled at cross","vague","https://www.newadvent.org/fathers/",NO
149,"Zechariah 13: A Fountain Opened","John 19:34 fulfills fountain opened per Augustine","vague","https://www.newadvent.org/fathers/",NO
150,"Malachi 1: A Pure Offering from All Nations","Irenaeus; Against Heresies 4.17.5 - Pure offering of Church","vague","https://www.newadvent.org/fathers/",NO
150,"Malachi 1: A Pure Offering from All Nations","Augustine; City of God XVIII.35 - Sacrifice among gentiles","vague","https://www.newadvent.org/fathers/",NO
151,"Malachi 3: Messenger Prepares the Way","Augustine; Harmony of the Gospels 2.21 - Messenger prophecy","vague","https://www.newadvent.org/fathers/",NO
151,"Malachi 3: Messenger Prepares the Way","Origen; Commentary on John 6.14 - John prepares way for Lord","vague","https://www.newadvent.org/fathers/",NO
151,"Malachi 3: Messenger Prepares the Way","Aquinas; Commentary on Matthew 11 - Messenger fulfillment","vague","https://www.newadvent.org/fathers/",NO
152,"Malachi 4: Sun of Righteousness","Cyprian; Testimonies 2.27 - Sun of justice with healing","vague","https://www.newadvent.org/fathers/",NO
152,"Malachi 4: Sun of Righteousness","Augustine; Sermons 229M - Light that illumines","vague","https://www.newadvent.org/fathers/",NO
153,"Hosea 2: I Will Betroth You Forever","Ephesians 5:25-32 fulfills Hosea 2 per Chrysostom","vague","https://www.newadvent.org/fathers/",NO
153,"Hosea 2: I Will Betroth You Forever","Origen; Commentary on Song of Songs - Nuptial mystery","vague","https://www.newadvent.org/fathers/",NO
154,"Hosea 6: Come; Let Us Return to the LORD","1 Corinthians 15:4 - Raised on third day per Augustine","vague","https://www.newadvent.org/fathers/",NO
154,"Hosea 6: Come; Let Us Return to the LORD","Origen; Commentary on John 10.15 - Return to life","vague","https://www.newadvent.org/fathers/",NO
155,"Hosea 11: I Led Them with Cords of Kindness","Augustine; Questions on the Heptateuch - Israel as son prefigures Christ","vague","https://www.newadvent.org/fathers/",NO
155,"Hosea 11: I Led Them with Cords of Kindness","Origen; Commentary on Matthew 2 - Fulfilled in Christ","vague","https://www.newadvent.org/fathers/",NO
155,"Hosea 11: I Led Them with Cords of Kindness","Irenaeus; Proof of the Apostolic Preaching 44 - Christ recapitulates Israel","vague","https://www.newadvent.org/fathers/",NO
156,"Joel 1: Priests; Put On Sackcloth","Augustine; Sermons 205 - Call to repentance","vague","https://www.newadvent.org/fathers/",NO
156,"Joel 1: Priests; Put On Sackcloth","Chrysostom; On Repentance 5 - Mourning leads to joy","vague","https://www.newadvent.org/fathers/",NO
156,"Joel 1: Priests; Put On Sackcloth","Ambrose; On Penance - Priestly intercession","vague","https://www.newadvent.org/fathers/",NO
156,"Joel 1: Priests; Put On Sackcloth","Gregory the Great; Dialogues 3.36 - Fasting and prayer","vague","https://www.newadvent.org/fathers/",NO
157,"Joel 2: Pour Out My Spirit","Augustine; Sermons 267 - Spirit poured on all flesh","vague","https://www.newadvent.org/fathers/",NO
158,"Joel 3: The LORD Dwells in Zion","Augustine; City of God XX.17 - Lord's dwelling in Church","vague","https://www.newadvent.org/fathers/",NO
158,"Joel 3: The LORD Dwells in Zion","Origen; On First Principles 2.11 - Temple of Holy Spirit","vague","https://www.newadvent.org/fathers/",NO
159,"Amos 8: Famine of Hearing God's Word","Augustine; Confessions 1.1 - Restless until rest in God","vague","https://www.newadvent.org/fathers/",NO
159,"Amos 8: Famine of Hearing God's Word","Augustine; City of God XVII.20 - Famine of hearing God's word","vague","https://www.newadvent.org/fathers/",NO
160,"Amos 9: I Will Restore David's Fallen Tent","Augustine; City of God XVIII.28 - Restoration of David's house","vague","https://www.newadvent.org/fathers/",NO
160,"Amos 9: I Will Restore David's Fallen Tent","Augustine; City of God XVIII.28 - David's fallen tent restored","vague","https://www.newadvent.org/fathers/",NO
160,"Amos 9: I Will Restore David's Fallen Tent","Aquinas; Commentary on Acts 15 - Prophecy of Church","vague","https://www.newadvent.org/fathers/",NO
162,"Micah 5: Ruler from Bethlehem","Origen; Against Celsus 1.51 - Birthplace foretold","vague","https://www.newadvent.org/fathers/",NO
162,"Micah 5: Ruler from Bethlehem","Augustine; City of God XVIII.35 - Ruler from Bethlehem","vague","https://www.newadvent.org/fathers/",NO
162,"Micah 5: Ruler from Bethlehem","Origen; Against Celsus 1.51 - Eternal generation of Christ","vague","https://www.newadvent.org/fathers/",NO
163,"Micah 6: What Does the LORD Require?","Augustine; Enchiridion 3 - Faith; hope; love summarized","vague","https://www.newadvent.org/fathers/",NO
164,"Micah 7: Shepherd Your People","Gregory the Great; Pastoral Rule 2.5 - Care of the shepherd","vague","https://www.newadvent.org/fathers/",NO
165,"Nahum 1: The LORD is Good","Augustine; Confessions 7.12 - All that exists is good","vague","https://www.newadvent.org/fathers/",NO
166,"Habakkuk 2: The Righteous Live by Faith","Augustine; The Spirit and the Letter 26 - Justification by faith","vague","https://www.newadvent.org/fathers/",NO
166,"Habakkuk 2: The Righteous Live by Faith","Aquinas; Commentary on Romans 1 - Living by faith","vague","https://www.newadvent.org/fathers/",NO
166,"Habakkuk 2: The Righteous Live by Faith","Augustine; City of God XVII.4 - The just shall live by faith","vague","https://www.newadvent.org/fathers/",NO
